,cost,address,bedrooms,bathrooms,hydro,heat,water,parking,pet,size,furnished,ac,smoking,has_den,has_unitType_Apartment,has_unitType_Basement,has_unitType_Condo,has_unitType_Duplex/Triplex,has_unitType_House,has_unitType_Townhouse,has_wifiInfo_Internet,has_wifiInfo_Cable,agreement_is_annual,has_appliances_Dishwasher,has_appliances_Fridge / Freezer,has_appliances_Laundry (In Building),has_appliances_Laundry (In Unit),has_amenities_24 Hour Security,has_amenities_Bicycle Parking,has_amenities_Concierge,has_amenities_Elevator in Building,has_amenities_Gym,has_amenities_Pool,has_amenities_Storage Space,has_outdoor_Balcony,has_outdoor_Yard,latitude,longitude
66,940,"331  Broad Street North, Regina, SK, S4R 2X8",1,1.0,0,1,1,0,1,659,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.4907451,-104.6061213
67,1285,"3928 Green Falls Drive, Regina, SK, S4V 3M1",2,1.0,0,1,1,0,1,840,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,50.41547775,-104.5155892367307
68,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",2,1.0,0,1,1,0,1,840,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.4125124,-104.6602563
69,1300,"331  Broad Street North, Regina, SK, S4R 2X8",2,2.0,0,1,1,0,1,832,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.4907451,-104.6061213
70,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",1,1.0,0,0,1,1,1,350,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,51.210439199999996,-102.47049035372058
71,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",1,1.0,0,0,1,1,1,350,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,51.210439199999996,-102.47049035372058
72,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",1,1.0,0,0,1,1,1,350,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,51.210439199999996,-102.47049035372058
73,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",1,1.0,0,0,1,1,1,350,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,51.210439199999996,-102.47049035372058
74,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",1,1.0,0,0,1,1,1,350,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,51.210439199999996,-102.47049035372058
75,920,"26 Lorne Place, Regina, SK, S4R 8B3",1,1.0,0,1,1,0,1,607,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,50.484867,-104.6137247
76,1045,"6725 Rochdale Blvd, Regina, SK, S4X 2Z2",1,1.0,0,1,1,0,1,583,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,50.4952793,-104.6868619
77,1200,", S0G 3Z0, Pilot Butte, SK",2,1.0,0,0,0,2,0,786,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.4785809,-104.4179622
78,950,"4462 Albulet Drive, S4W0L5, Regina, SK",1,1.0,1,1,1,1,0,700,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,50.4086579,-104.65717904928826
79,800,"S4T3M6, Canada",2,1.0,0,0,0,1,0,800,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,61.0666922,-107.991707
80,920,", Regina S4P 2M4 SK",1,1.0,0,1,1,0,0,555,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,50.4193012,-104.58222594380054
81,975,"125 Froom Crescent, Regina, SK S4N 1S8, Canada",2,1.0,0,1,1,1,1,800,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,50.44435695,-104.56520055045337
82,800,"204 Keeler St, Pangman, SK S0C 2C0, Canada",2,2.0,0,0,0,2,0,700,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,49.6456181,-104.6618481
83,849,"4050 Rae Street, Regina, SK, S4S 3A3",1,1.0,0,1,1,0,1,675,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.4144141,-104.62140900028498
84,884,"801 Grey Street, Regina, SK, S4T 5G8",2,1.0,0,1,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.4654359,-104.6550057059113
85,849,"3955 Robinson Street, Regina, SK, S4S 3C7",1,1.0,0,1,1,0,1,675,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.41608755,-104.6235269
86,879,"2155 Rose Street, Regina, SK, S4P 2A5",1,1.0,0,1,1,0,1,675,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.4445512,-104.60752017514639
87,1100,"420 Toronto Street, Regina, SK, S4R 1M4",2,1.0,0,0,0,0,0,900,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50.471920850000004,-104.59948814204179
88,980,"2131 Angus Street, Regina, SK, S4T 2A1",1,1.0,0,1,1,0,1,615,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.44490885,-104.6192048856471
89,1020,"453 Retallack Street, Regina, SK, S4R 3N4",2,1.0,0,1,1,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.4771602,-104.6225169
90,1120,"2657  Lacon Street, Regina, SK, S4N 2A5",2,1.0,0,1,1,0,1,773,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.4534717,-104.5693188
91,750,"2104  14th Ave, Regina, SK, S4P 0X6",1,1.0,0,1,1,0,1,343,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.4440296,-104.5688047
92,1500,"2315 McIntyre St, Regina, SK S4P 3Y8, Canada",2,1.0,1,1,1,1,0,700,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,50.4751379,-104.6166143
93,2300,"3117 Trombley Street, Regina, SK, S4V 3S1",3,2.5,0,0,0,0,1,1186,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.4303224,-104.5138082
94,1150,"3068 Greenbank Road, Regina, SK, S4V 3R7",2,1.0,0,0,0,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.428267,-104.522816
95,1150,"3076 George Street, Regina, SK, S4V 3X3",2,1.0,0,0,0,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.4314179,-104.5108068
96,1140,"3928 Green Falls Drive, Regina, SK, S4V 3M1",1,1.0,0,1,1,0,1,615,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,50.41547775,-104.5155892367307
97,1190,"4013 Harbour Landing Dr, Regina, SK, S4W 0E5",2,1.0,0,0,1,0,1,691,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,50.4180892,-104.6487588
98,1070,"4013 Harbour Landing Dr, Regina, SK, S4W 0E5",1,1.0,0,0,1,0,1,546,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,50.4180892,-104.6487588
99,1060,"5929 Rochdale Blvd, Regina, SK, S4X 0M3",1,1.0,0,0,1,0,1,566,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,50.4952793,-104.6868619
100,1140,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",1,1.0,0,1,1,0,1,615,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.4125124,-104.6602563
101,1230,"5601 Gordon Road, Regina, SK, S4W 0M6",2,1.0,0,0,1,0,1,825,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,50.4053187,-104.6631924
102,1215,"5601 Gordon Road, Regina, SK, S4W 0M6",1,1.0,0,0,1,0,1,780,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,50.4053187,-104.6631924
103,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",2,1.0,0,1,1,0,1,840,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.4125124,-104.6602563
104,1300,"224 Osler St, Regina, SK S4R 1V4, Canada",3,1.0,1,1,1,1,1,950,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,50.474920499999996,-104.60521359830935
105,1300,"2271 Argyle Street, S4T 3T2, Regina, SK",2,1.0,0,0,0,2,0,800,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,50.44264645,-104.63228860791605
106,1500,"1132 Gordon street, S0G3N0, Moosomin, SK",5,2.0,0,0,0,3,0,2000,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.1416336,-101.6716786
