,cost,address,unitType,bedrooms,bathrooms,hydro,heat,water,wifi_info,parking,agreement,pet,size,furnished,appliances,ac,outdoor,smoking,amenities,url,has_den
66,1022,"22-41 Munroe Pl., Regina, SK, S4S 6A7",Apartment,2,1.0,0,1,1,Cable / TV,0,1 Year,1,860,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Balcony'],1,"['24 Hour Security', 'Storage Space']",/v-apartments-condos/regina/2-bedroom-22-41-munroe-pl/1505838359,0
67,1268,"700 Gladmer Pk., Regina, SK, S4P 2W9",Townhouse,3,1.0,0,0,0,Cable / TV,1,1 Year,1,1056,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",0,"['Yard', 'Balcony']",1,['Not Included'],/v-apartments-condos/regina/3-bedroom-townhouse-700-gladmer-pk/1562235323,0
68,1800,"2 Donahue Ave, Regina, SK S4R 3Y5, Canada",House,3,1.0,1,1,1,Cable / TVInternet,2,Month-to-month,0,1000,1,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/3-bedroom-main-floor-house-furnished-utilities-included/1568832823,0
69,1160,"3367 Green Poppy Street, Regina, SK, S4W 0G3",Townhouse,1,1.0,0,0,0,Not Included,1,1 Year,1,529,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/one-bedroom-townhome-rental-private-entrance/1567505520,0
70,1285,"3928 Green Falls Drive, Regina, SK, S4V 3M1",Apartment,2,1.0,0,1,1,Not Included,0,Month-to-month,1,840,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Pool', 'Elevator in Building']",/v-apartments-condos/regina/sterling-manor-2-bedroom-1-bathroom-apartment-for-rent/1549748796,0
72,1190,"5929 Rochdale Blvd, Regina, SK, S4X 0M3",Apartment,2,1.0,0,0,1,Not Included,0,1 Year,1,691,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Elevator in Building'],/v-apartments-condos/regina/rochdale-crossing-2-bedroom-barrier-free-apartment-for-rent/1569485402,0
73,1190,"4013 Harbour Landing Dr, Regina, SK, S4W 0E5",Apartment,2,1.0,0,0,1,Not Included,0,1 Year,1,691,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Pool', 'Elevator in Building']",/v-apartments-condos/regina/sky-harbour-estates-2-bedroom-1-bathroom-apartment-for-rent/1560277818,0
75,1240,"5601 Gordon Road, Regina, SK, S4W 0M6",Apartment,1,1.0,0,0,1,Not Included,0,1 Year,1,780,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Elevator in Building'],/v-apartments-condos/regina/deveraux-heights-1-bedroom-loft-apartment-for-rent/1563407783,0
80,1119,"Centennial St, Regina, SK S4S 6W3, Canada",Apartment,2,1.0,0,1,1,Cable / TVInternet,1,Month-to-month,1,860,1,['Laundry (In Building)'],1,['Balcony'],1,"['Gym', 'Storage Space']",/v-apartments-condos/regina/low-price-transferring:-fully-furnished-comfy-2bedroom-apartment/1570649640,0
82,990,"653 Donald St, Esterhazy, Saskatchewan,, Esterhazy S0A 0X0 SK",Duplex/Triplex,2,1.0,0,0,0,Not Included,2,1 Year,0,900,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/1-2-duplex-for-rent/1570820830,1
83,1300,"1839 Scarth St, S4P 2G9, Regina, SK",Apartment,1,1.0,1,1,1,Cable / TVInternet,1,Month-to-month,1,900,1,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/beautiful-fully-furnished-downtown-condo-available-for-july-1/1570819878,0
84,923,"405 Rae St, Regina, SK S4R 3M3, Canada",Apartment,2,1.0,0,1,1,Not Included,1,1 Year,0,792,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,"['24 Hour Security', 'Bicycle Parking', 'Storage Space']",/v-apartments-condos/regina/henry-kelsey-apartments-large-two-bedroom/1570818189,0
85,955,"34 Spence Street, Regina, SK, S4S 4H4",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/1-bedroom-apartment-for-rent-with-balcony/1570798286,0
86,600,"355  Northview Rd, Yorkton, SK, S3N 2X6",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,362,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/bachelor-apartment-available-for-rent/1570797133,0
87,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",Apartment,1,1.0,0,0,1,Not Included,1,1 Year,1,350,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/wonderful-suites-ready-for-rental/1570814171,0
89,1060,"34 Spence Street, Regina, SK, S4S 4H4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,800,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-apartment-for-rent-with-balcony/1570798364,0
90,940,"331  Broad Street North, Regina, SK, S4R 2X8",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,659,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/newly-renovated-1-bedroom-apartment-for-rent/1570072030,0
